country	duration
afghanistan	00:06:42
albania	00:07:28
algeria	00:07:39
andorra	00:06:42
angola	00:08:07
antigua and barbuda	00:07:17
argentina	00:10:18
armenia	00:09:22
australia	00:10:15
austria	00:10:05
azerbaijan	00:09:39
the bahamas	00:10:40
bandiaterra	00:08:45
bahrain	00:10:48
bangladesh	00:10:36
barbados	00:08:34
belarus	00:11:15
belgium	00:10:59
belize	00:11:16
benin	00:11:11
bhutan	00:11:20
bolivia	00:11:32
bosnia and herzegovina	00:11:19
botswana	00:11:12
brazil	00:12:19
brunei	00:11:24
bulgaria	00:11:30
burkina faso	00:11:32
burundi	00:10:50
cambodia	00:11:16
cameroon	00:11:30
canada	00:12:58
cape verde	00:09:42
central african republic	00:10:56
chad	00:10:24
chile	00:11:40
china	00:19:50
colombia	00:12:57
comoros	00:11:22
congo (democratic republic)	00:12:59
congo (republic)	00:11:38
costa rica	00:10:35
croatia	00:10:24
cuba	00:08:36
cyprus	00:09:04
czech republic	00:08:07
denmark	00:09:28
djibouti	00:08:56
dominica	00:09:03
dominican republic	00:09:16
east timor	00:09:28
ecuador	00:09:18
egypt	00:12:07
el salvador	00:09:22
equatorial guinea	00:09:07
eritrea	00:09:37
estonia	00:09:27
ehiopia	00:12:06
fiji	00:10:14
finland	00:11:42
republic of north macedonia	00:11:45
france	00:16:51
gabon	00:10:15
the gambia	00:09:59
georgia	00:11:47
germany	00:15:21
ghana	00:12:53
greece	00:13:47
grenada	00:09:39
guatemala	00:11:14
guinea	00:10:10
guinea bissau	00:10:02
guyana	00:10:48
haiti	00:11:29
honduras	00:10:41
hungary	00:11:39
iceland	00:11:57
india	00:19:11
indonesia	00:14:53
iran	00:14:02
iraq	00:13:32
ireland	00:16:29
israel	00:20:37
italy	00:13:27
ivory coast	00:11:09
jamaica	00:11:27
japan	00:16:20
jordan	00:11:27
kazakhstan	00:12:52
kenya	00:13:24
kiribati	00:13:38
north korea	00:16:11
south korea	00:17:50
kuwait	00:12:10
kyrgyzstan	00:11:33
laos	00:12:33
latvia	00:11:24
lebanon	00:13:29
lesotho	00:11:35
liberia	00:11:59
libya	00:10:42
liechtenstein	00:12:15
limberwisk	00:10:24
lithuania	00:12:25
luxembourg	00:11:42
madagascar	00:11:38
malawi	00:10:35
malaysia	00:13:19
eswatini	00:12:30
maldives	00:11:49
mali	00:13:42
malta	00:11:25
marshall islands	00:12:08
mauritania	00:11:03
mauritius	00:12:10
mexico	00:18:21
micronesia (federated states)	00:12:06
moldova	00:12:40
monaco	00:13:34
mongolia	00:14:38
montenegro	00:12:02
morocco	00:15:18
mozambique	00:13:22
myanmar	00:16:10
namibia	00:15:06
nauru	00:14:00
nepal	00:16:06
netherlands	00:18:27
patch amberdash	00:11:43
new zealand (aotearoa)	00:17:26
nicaragua	00:15:46
niger	00:15:22
nigeria	00:18:41
norway	00:19:12
oman	00:16:54
pakistan	00:19:10
palau	00:15:44
panama	00:15:59
papua new guinea	00:18:13
paraguay	00:18:08
peru	00:18:29
philippines	00:19:42
poland	00:19:10
portugal	00:19:45
qatar	00:18:59
romania	00:19:38
russia	00:32:55
rwanda	00:21:00
st. kitts and nevis	00:20:43
st. lucia	00:20:23
st. vincent and the grenadines	00:22:35
qitzikwaka	00:13:48
samoa	00:23:20
san marino	00:19:50
sao tome and principe	00:22:35
saudi arabia	00:29:02
senegal	00:28:26
serbia	00:27:48
seychelles	00:25:41
sierra leone	00:24:04
singapore	00:28:07
slovakia	00:23:22
slovenia	00:25:31
solomon islands	00:26:39
somalia	00:27:03
south africa	00:33:13
sovonthak	00:15:08
spain	00:33:18
sri lanka	00:30:50
sudan	00:29:11
south sudan	00:30:44
suriname	00:27:55
sweden	00:33:51
switzerland	00:33:02
syria	00:31:06
tajikistan	00:29:06
tanzania	00:32:15
thailand	00:33:28
volanca	00:11:19
togo	00:32:28
tonga	00:28:24
trinidad and tobago	00:31:13
tunisia	00:31:18
turkey	00:35:30
turkminestan	00:31:56
tuvalu	00:33:08
